Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Affects versions,Fix versions,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Status Category
MFT (16) - System verifies that customer's balance is sufficient to fulfill the request,CVGI-64,10077,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 System is requesting a withdrawal amount
 
 Steps to reproduce:Â 
 
 Choose an amount that the system currently has but which is greater than the account balance
 
 The expected outcome:
 
 System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome:
 
 System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000g7:,,,,,,,,,,,,Done
MFT (17) - A withdrawal transaction can be cancelled by the customer any time prior to choosing the dollar amount,CVGI-63,10076,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of account types
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays ""Last Transaction was cancelled""
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fz:,,,,,,,,,,,,Done
MFT (15) - System verifies that it has sufficient cash on hand to fulfill the request,CVGI-62,10075,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 System has been started up with less than the maximum withdrawal amount in cash on hand; System is requesting a withdrawal amount
 
 Steps to reproduce:Â 
 
 Choose an amount greater than what the system currently has
 
 The expected outcome:
 
 System displays an appropriate message and asks customer to choose a different amount
 
 The actual outcome:
 
 System displays an insufficient funds and asks customers to choose a different amount
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fr:,,,,,,,,,,,,Done
MFT (18) - A withdrawal transaction can be cancelled by the customer any time prior to choosing the dollar amount,CVGI-61,10074,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of dollar amounts
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays ""Last Transaction was cancelled""
 
 Pass/Fail:",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fj:,,,,,,,,,,,,Done
MFT (19) - System asks customer to choose an account to deposit to,CVGI-60,10073,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: Menu of transaction types is being displayed
 
 Steps to reproduce:Â 
 
 # Choose Deposit transaction
 
 The expected outcome: System displays a menu of account types
 
 The actual outcome: System displays a menu of account types
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000fb:,,,,,,,,,,,,Done
MFT (20) - System asks customer to enter a dollar amount to deposit,CVGI-59,10072,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: Menu of account types is being displayed
 
 Steps to reproduce:Â 
 
 # Choose checking account
 
 The expected outcome: System displays a request for the customer to type a dollar amount
 
 The actual outcome: System displays a request for the customer to type a dollar amount.
 
 Pass/Fail: 
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000f3:,,,,,,,,,,,,Done
MFT (14) - System performs a legitimate withdrawal transaction properly,CVGI-58,10071,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,1,,1.1,,,0,"Initial state of the system: 
 
 System is displaying the menu of withdrawal amounts
 
 Steps to reproduce:Â 
 
 Choose an amount that the system currently has and which is not greater than the account balance
 
 The expected outcome:
 
 System dispenses this amount of cash; System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)
 
 The actual outcome:
 
 System does not dispense the correct amount of cash; System does not print the correct receipt showing amount and correct updated balance; System does not correctly show the log.
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ev:,,,,,,,,,,,,Done
MFT (30) - A transfer transaction can be cancelled by the customer any time prior to entering dollar amount,CVGI-57,10070,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: System is displaying menu of account types specifying transfer from
 
 Steps to reproduce:Â 
 
 # Press ""Cancel"" key
 
 The expected outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 The actual outcome: System displays an appropriate message and offers customer the option of choosing to do another transaction or not.
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000en:,,,,,,,,,,,,Done
MFT (29) - System performs a legitimate transfer transaction properly,CVGI-56,10069,Bug,In Progress,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,,1,1.1,,,,0,"Initial state of the system: System is displaying a request for the customer to type a dollar amount
 
 Steps to reproduce:Â 
 
 # Enter a legitimate dollar amount
 
 The expected outcome: System prints a correct receipt showing amount and correct updated balance; System records transaction correctly in the log (showing both message to the bank and approval back)
 
 The actual outcome: System prints a incorrect receipt showing amount and correct updated balance, but wrong transfer order; System records transaction correctly in the log (showing both message to the bank and approval back)
 
 Pass/Fail:
 
 Fail",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000ef:,,,,,,,,,,,,In Progress
MFT (13) - System asks customer to choose a dollar amount to withdraw,CVGI-55,10068,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 Menu of account types is being displayed
 
 Steps to reproduce:Â 
 
 Choose checking account
 
 The expected outcome:
 
 System displays a menu of possible withdrawal amounts
 
 The actual outcome:
 
 System displays a menu of possible withdrawal amounts
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000e7:,,,,,,,,,,,,Done
MFT (28) - System asks customer to enter a dollar amount to transfer,CVGI-54,10067,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Ahmad Janjua,63cc977aa05386069cd9b691,Ahmad Janjua,63cc977aa05386069cd9b691,########,########,########,########,,,1,1.1,,0,"Initial state of the system: Menu of account types to transfer to is being displayed
 
 Steps to reproduce:Â 
 
 # Choose savings account
 
 The expected outcome: System displays a request for the customer to type a dollar amount
 
 The actual outcome: System displays a request for the customer to type a dollar amount
 
 Pass/Fail:
 
 Pass",,Ahmad Janjua,,63cc977aa05386069cd9b691,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dz:,,,,,,,,,,,,Done
MFT (12) - System asks customer to choose an account to withdraw from,CVGI-53,10066,Bug,Done,CVGI,A1,software,Maxwell Kepler,63cc9751a197e05f9daccacd,,Medium,Done,,,Matthew Ho,63d3352bc7e5fd35203c312d,Matthew Ho,63d3352bc7e5fd35203c312d,########,########,########,########,,,1,1.1,,0,"Initial state of the system: 
 
 Menu of transaction types is being displayed
 
 Steps to reproduce:Â 
 
 Choose Withdrawal transaction
 
 The expected outcome:
 
 System displays a menu of account types
 
 The actual outcome:
 
 System displays a menu of account types
 
 Pass/Fail:
 
 Pass",,Matthew Ho,,63d3352bc7e5fd35203c312d,,,,,,,,,,,,,,,,,,,,,,,,,0|i000dr:,,,,,,,,,,,,Done
